trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,overlay_return_pct,hold_days,exit_reason,is_win,rsi_at_entry,vol_ratio_at_entry
1,2007-11-22,2007-11-26,5561.0498046875,5731.7001953125,3.0686722223051577,6.137344444610315,3,TAKE_PROFIT,True,34.767180208271284,1.0
2,2008-01-21,2008-02-01,5705.2998046875,5317.25,-6.801567279053,-13.603134558106,10,MAX_HOLD,False,23.997812930146765,1.0
3,2009-06-26,2009-06-26,4241.85009765625,4375.5,3.1507455300600062,6.3014910601200125,1,TAKE_PROFIT,True,34.360708765119966,1.0
4,2009-07-01,2009-07-01,4291.10009765625,4340.89990234375,1.1605370080903121,2.3210740161806243,1,TAKE_PROFIT,True,31.22455689618168,1.0
5,2009-07-07,2009-07-15,4165.7001953125,4233.5,1.6275728331047956,3.2551456662095912,7,TAKE_PROFIT,True,34.776051087528685,1.0
6,2009-10-30,2009-11-09,4750.5498046875,4898.39990234375,3.1122733943419023,6.224546788683805,6,TAKE_PROFIT,True,33.144585159263485,1.0
7,2010-01-25,2010-02-08,5036.0,4760.39990234375,-5.472599238607034,-10.945198477214069,10,MAX_HOLD,False,28.15137839072682,1.0
8,2010-04-29,2010-04-30,5215.4501953125,5278.0,1.1993174576514498,2.3986349153028996,2,TAKE_PROFIT,True,34.43491030099163,1.0
9,2010-05-05,2010-05-18,5148.5,5066.2001953125,-1.5985200483150441,-3.1970400966300883,10,MAX_HOLD,False,33.76151275632769,1.0
10,2010-11-26,2010-11-30,5799.75,5862.7001953125,1.085394979309462,2.170789958618924,3,TAKE_PROFIT,True,32.3083510049988,1.0
11,2011-01-11,2011-01-12,5762.85009765625,5863.25,1.7421918086084176,3.484383617216835,2,TAKE_PROFIT,True,30.951639675704186,1.0
12,2011-01-14,2011-01-28,5751.89990234375,5512.14990234375,-4.16818797389551,-8.33637594779102,10,MAX_HOLD,False,33.79305217089541,1.0
13,2012-07-24,2012-07-30,5117.9501953125,5199.7998046875,1.5992654529926043,3.1985309059852085,5,TAKE_PROFIT,True,32.6104676823863,1.0
14,2012-09-06,2012-09-07,5225.7001953125,5342.10009765625,2.2274508294249484,4.454901658849897,2,TAKE_PROFIT,True,34.846255477123165,1.0
15,2013-02-22,2013-03-07,5852.25,5863.2998046875,0.18881292985604148,0.37762585971208296,10,MAX_HOLD,True,27.963983898405672,1.121508478153795
16,2013-04-04,2013-04-17,5672.89990234375,5688.7001953125,0.27852232968577084,0.5570446593715417,10,MAX_HOLD,True,29.39165116034117,0.9688080975005098
17,2013-06-12,2013-06-17,5788.7998046875,5850.0498046875,1.0580777029187027,2.1161554058374055,4,TAKE_PROFIT,True,26.206412715408078,1.2913588178605755
18,2014-02-14,2014-02-18,6001.10009765625,6127.10009765625,2.099615036403235,4.19923007280647,2,TAKE_PROFIT,True,22.497146340244086,0.9748208283122917
19,2014-10-08,2014-10-09,7852.39990234375,7960.5498046875,1.377284698802339,2.754569397604678,2,TAKE_PROFIT,True,34.293149454003995,1.1283261639194402
