trade_id,entry_date,entry_price,exit_date,exit_price,holding_days,gross_return_pct,net_return_pct,status,reason
1,2007-11-22,5519.35,2007-11-23,5585.58,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
2,2008-01-21,5208.8,2008-01-23,5271.31,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
3,2008-01-29,5280.8,2008-02-04,5344.17,4,1.2,1.1,WIN,PROFIT_TARGET_HIT
4,2009-06-26,4375.5,2009-06-29,4428.01,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
5,2009-07-01,4340.9,2009-07-03,4392.99,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
6,2009-07-07,4202.15,2009-07-16,4252.58,7,1.2,1.1,WIN,PROFIT_TARGET_HIT
7,2009-10-30,4711.7,2009-11-05,4768.24,3,1.2,1.1,WIN,PROFIT_TARGET_HIT
8,2010-01-25,5007.9,2010-03-03,5067.99,24,1.2,1.1,WIN,PROFIT_TARGET_HIT
9,2010-04-29,5254.15,2010-06-21,5317.2,37,1.2,1.1,WIN,PROFIT_TARGET_HIT
10,2010-11-26,5751.95,2010-11-29,5820.97,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
11,2011-01-11,5754.1,2011-01-12,5823.15,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
12,2011-01-14,5654.55,2011-01-18,5722.4,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
13,2012-07-24,5128.2,2012-07-30,5189.74,4,1.2,1.1,WIN,PROFIT_TARGET_HIT
14,2013-02-22,5850.3,2013-03-08,5920.5,10,1.2,1.1,WIN,PROFIT_TARGET_HIT
15,2013-04-04,5574.75,2013-04-16,5641.65,8,1.2,1.1,WIN,PROFIT_TARGET_HIT
16,2013-06-12,5760.2,2013-06-17,5829.32,3,1.2,1.1,WIN,PROFIT_TARGET_HIT
17,2013-11-22,5995.45,2013-11-25,6067.4,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
18,2014-02-04,6000.9,2014-02-07,6072.91,3,1.2,1.1,WIN,PROFIT_TARGET_HIT
19,2014-02-14,6048.35,2014-02-18,6120.93,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
20,2014-10-08,7842.7,2014-10-09,7936.81,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
21,2014-10-17,7779.7,2014-10-20,7873.06,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
22,2014-12-17,8029.8,2014-12-18,8126.16,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
23,2014-12-26,8200.7,2015-01-02,8299.11,4,1.2,1.1,WIN,PROFIT_TARGET_HIT
24,2015-03-27,8341.4,2015-03-30,8441.5,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
25,2016-09-30,8611.15,2016-10-03,8714.48,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
26,2016-11-10,8525.75,2017-01-27,8628.06,54,1.2,1.1,WIN,PROFIT_TARGET_HIT
27,2017-08-14,9794.15,2017-08-17,9911.68,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
28,2018-02-12,10539.75,2018-04-27,10666.23,50,1.2,1.1,WIN,PROFIT_TARGET_HIT
29,2018-05-24,10513.85,2018-05-28,10640.02,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
30,2018-09-12,11369.9,2018-09-14,11506.34,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
31,2018-09-25,11067.45,2019-03-12,11200.26,112,1.2,1.1,WIN,PROFIT_TARGET_HIT
32,2019-05-14,11222.05,2019-05-17,11356.71,3,1.2,1.1,WIN,PROFIT_TARGET_HIT
33,2019-07-22,11346.2,2019-09-23,11482.35,41,1.2,1.1,WIN,PROFIT_TARGET_HIT
34,2020-02-04,11979.65,2020-02-06,12123.41,2,1.2,1.1,WIN,PROFIT_TARGET_HIT
35,2020-09-25,11050.25,2020-09-28,11182.85,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
36,2021-02-01,14281.2,2021-02-02,14452.57,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
37,2021-03-01,14761.55,2021-03-02,14938.69,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
38,2021-03-25,14324.9,2021-03-26,14496.8,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
39,2021-11-29,17053.95,2021-11-30,17258.6,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
40,2021-12-06,16912.25,2021-12-07,17115.2,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
41,2022-01-25,17277.95,2022-02-01,17485.28,4,1.2,1.1,WIN,PROFIT_TARGET_HIT
42,2022-02-08,17266.75,2022-02-09,17473.95,1,1.2,1.1,WIN,PROFIT_TARGET_HIT
43,2022-09-27,17007.4,2022-10-04,17211.49,5,1.2,1.1,WIN,PROFIT_TARGET_HIT
44,2022-12-22,18127.35,2023-05-11,18344.88,93,1.2,1.1,WIN,PROFIT_TARGET_HIT
45,2023-10-27,19047.25,2023-11-03,19275.82,5,1.2,1.1,WIN,PROFIT_TARGET_HIT
46,2024-10-23,24435.5,2024-12-05,24728.73,29,1.2,1.1,WIN,PROFIT_TARGET_HIT
47,2026-01-21,25157.5,2026-02-03,25459.39,8,1.2,1.1,WIN,PROFIT_TARGET_HIT
